Category	Sub-Category	Variable Name	Label	Variable Type	Coding
Core	Identification/Dates	subject_id	Individual ID combining study and person info	Character	"Study ID + ""_"" + person ID (e.g.: XX_XXX)"
Core	Identification/Dates	id	Individual ID (original from study)	Character	Study specific person ID
Core	Identification/Dates	record_date	Date of data/sample collection	Date	"dd/mm/yyyy
08/08/8000 - Missing/Unknown"
Core	Identification/Dates	qcycle	Questionnaire cycle (repeated measures)	Categorical	"0 - Baseline
1 + - Follow up cycle #
888 - Missing"
Core	Identification/Dates	baseline	Baseline record indicator	Categorical	"0 - Record taken subsequent to baseline, 1 - Record taken at baseline"
Core	Identification/Dates	lastfollowup	Last follow up indicator	Categorical	"0 - Record date is prior to last follow up, 1 - Record date is date of last follow up"
Core	Demographics	birth_year	Birth year	Date (yyyy)	"yyyy, 888- Missing/Unknown"
Core	Demographics	sex	Sex	Categorical	"0 - Female, 1 - Male"
Core	Demographics	age	Age at record_date   	Integer	Age in years
Core	Demographics	race	Race (US OMB categories)	Categorical	"1 - White
2 - Black/African American
3 - Asian
4 - Native Hawaiin/ Pacific Islander
5 - American Indian/Alaska Native
6 - Other, including multiracial
888 - Missing"
Core	Demographics	ethnicity	Ethnicity (US OMB categories)	Categorical	"0 - Non-Hispanic/Non-Latino
1 - Hispanic/Latino
888 - Missing"
Core	Demographics	education	Highest level education attained	Categorical	"1 - Less than high school
2 - High School
3 - Some college education
4 - University (degree)
5 - Graduate school (some or degree)
888 - Unknown/Missing"
Core	Demographics	AJAncestry	Ashkenazi Jewish Ancestry	Categorical	"0 - No
1 - Yes
888 - Missing"
Core	Anthropometry	height	Height (cm)	Decimal	"Height in cm
888 - Missing"
Core	Anthropometry	weight	Weight (kg) 	Decimal	"Weight in kg
888 - Missing"
Core	Anthropometry	bmi	Body Mass Index (BMI) (kg/m2) 	Decimal	"BMI in kg/m2
888 - Missing"
Core	Anthropometry	waist	Waist Circumference (cm) 	Decimal	"Waist circumference in cm
888 - Missing"
Core	Anthropometry	hip	Hip Circumference (cm)	Decimal	"Hip circumference in cm
888 - Missing"
Core	Anthropometry	whr	Waist to hip ratio	Decimal	"Waist-to-hip ratio
888 - Missing"
Core	Anthropometry	bmi_earlyadult	Body Mass Index (BMI) (kg/m2) age 18-24	Decimal	"BMI in kg/m2
888 - Missing"
Core	Alcohol and Tobacco	alcohol_status	Drinking status	Categorical	"1 - Current
2 - Former 
3 - Ever (unknown current or former)
4 - Never
888 - Missing/Unknown"
Core	Alcohol and Tobacco	alcohol_init	Age of initiation of regular alcohol drinking	Integer	"Age in years
777 - Nondrinker
888 - Missing"
Core	Alcohol and Tobacco	alcohol_amt	Current alcohol intake (grams/day)	Decimal	"Value
888 - Missing"
Core	Alcohol and Tobacco	alcohol_stop	Age of cessation of regular alcohol drinking	Integer	"Age in years
666 - N/A (no stop date)
777 - Nondrinker
888 - Missing"
Core	Alcohol and Tobacco	alcohol_dur	Duration of regular alcohol drinking in years	Decimal	"Years of alcohol use
777 - Nondrinker
888 - Missing"
Core	Alcohol and Tobacco	smoking_init	Age of initiation of smoking	Integer	"Age in years
777 - Nonsmoker
888 - Missing"
Core	Alcohol and Tobacco	smoking_amt	Current amount smoked (cig/day)	Decimal	"Value
888 - Missing"
Core	Alcohol and Tobacco	smoking_dur	Duration of smoking in years	Decimal	"Years of regular smoking
777 - Nonsmoker
888 - Missing/Unknown"
Core	Alcohol and Tobacco	smoking_status	Smoking status	Categorical	"1 - Current
2 - Former 
3 - Ever (unknown current or former)
4 - Never
888 - Missing/Unknown"
Core	Alcohol and Tobacco	smoking_stop	Age of cessation of smoking	Integer	"Age in years
666 - N/A (current smoker)
777 - Nonsmoker
888 - Missing/Unknown"
Core	Personal and Family Health History	fhx_fdr_brca	Family history of breast cancer (first degree relative)	Categorical	"0 - No
1 - Yes
888 - Missing"
Core	Personal and Family Health History	Biopsies_yesno	"Ever had a breast biopsy, excluding biopsies leading to diagnosis of cancer in cases"	Categorical	"0- No
1- Yes
888- Missing"
Core	Personal and Family Health History	Biopsies_number	"Number of breast biopsies, excluding biopsies leading to diagnosis of breast cancer in cases"	Integer	"number
888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_history	History of benign breast disease	Categorical	"0 - No
1 - Yes
888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_number	Number of benign breast disease diagnoses	Integer	"number 0-4
5 - more than 4
888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_type1	Type of benign breast disease for first BBD diagnosis	Categorical	"1 - non-proliferative disease
2 - proliferative disease without atypia
3 - atypical hyperplasia
777 - NA
888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_year1	Year of diagnosis of first benign breast disease diagnosis 	integer	"yyyy
7777- NA
8888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_type2	Type of benign breast disease for second BBD diagnosis	Categorical	"1 - non-proliferative disease
2 - proliferative disease without atypia
3 - atypical hyperplasia
777 - NA
888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_year2	Year of diagnosis of second benign breast disease diagnosis	Date	"yyyy
7777- NA
8888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_type3	Type of benign breast disease for third BBD diagnosis	Categorical	"1 - non-proliferative disease
2 - proliferative disease without atypia
3 - atypical hyperplasia
777 - NA
888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_year3	Year of diagnosis of third benign breast disease diagnosis	Date	"yyyy
7777- NA
8888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_type4	Type of benign breast disease for fourth BBD diagnosis	Categorical	"1 - non-proliferative disease
2 - proliferative disease without atypia
3 - atypical hyperplasia
777 - NA
888 - Missing/Unknown"
Core	Personal and Family Health History	BBD_year4	Year of diagnosis of fourth benign breast disease diagnosis	Date	"yyyy
7777- NA
8888 - Missing/Unknown"
Core	Reproductive History	agemenarche	Age at menarche	Decimal	"Age in years
777 - Never had a period
888 - Missing/Unknown"
Core	Reproductive History	parous	Parous or not	Categorical	"0 - Non-parous
1 - Parous
888 - Missing"
Core	Reproductive History	age_preg1	Age at first pregnancy (full-term)	Decimal	"Age in years
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	parity	Number of pregnancies (full-term)	Integer	"0 + 
888 - Missing/Unknown"
Core	Reproductive History	age_preg2	Age at second pregnancy (full-term)	Decimal	"Age in years
666- N/A (<2 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg3	Age at third pregnancy (full-term)	Decimal	"Age in years
666- N/A (<3 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg4	Age at fourth pregnancy (full-term)	Decimal	"Age in years
666- N/A (<4 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg5	Age fifth first pregnancy (full-term)	Decimal	"Age in years
666- N/A (<5 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg6	Age sixth first pregnancy (full-term)	Decimal	"Age in years
666- N/A (<6 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg7	Age at seventh pregnancy (full-term)	Decimal	"Age in years
666- N/A (<7 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg8	Age at eighth pregnancy (full-term)	Decimal	"Age in years
666- N/A (<8 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg9	Age at ninth pregnancy (full-term)	Decimal	"Age in years
666- N/A (<9 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	age_preg10	Age at tenth pregnancy (full-term)	Decimal	"Age in years
666- N/A (<10 pregnancies)
777 - Nonparous
888 - Missing/Unknwon"
Core	Reproductive History	breastfeed	Ever breastfeed	Categorical	"0 - Never Breastfed
1 - Ever Breastfed
777- Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur	Cumulative lifetime duration of breastfeeding (months) 	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b1	Duration of breastfeeding (months) for first birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b2	Duration of breastfeeding (months) for second birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b3	Duration of breastfeeding (months) for third birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b4	Duration of breastfeeding (months) for fourth birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b5	Duration of breastfeeding (months) for fifth birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b6	Duration of breastfeeding (months) for sixth birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
Core	Reproductive History	breastfeed_dur_b7	Duration of breastfeeding (months) for seventh birth	Decimal	"Time in months
666 - NA (didn't breastfeed)
777 - Nonparous
888 - Missing/Unknown"
